location_code,week_start,cells,cells_log10,da,da_cat,cens,lod,t_days,t_years
BML,2008-08-25,,,3.41,2.0,0.0,,5971,16.347707049965777
BML,2008-09-01,,,5.2,2.0,0.0,,5978,16.366872005475702
BML,2008-09-08,,,1.0,1.0,1.0,1.0,5985,16.386036960985628
BML,2011-08-29,,,2.5,1.0,1.0,2.5,7070,19.356605065023956
BML,2011-09-05,,,2.5,1.0,1.0,2.5,7077,19.37577002053388
BML,2012-12-10,,,2.5,1.0,1.0,2.5,7539,20.640657084188913
BML,2013-07-22,,,2.5,1.0,1.0,2.5,7763,21.253935660506503
BML,2013-08-05,,,2.5,1.0,1.0,2.5,7777,21.29226557152635
BML,2013-08-19,,,2.5,1.0,1.0,2.5,7791,21.3305954825462
BML,2013-09-02,,,2.5,1.0,1.0,2.5,7805,21.36892539356605
BML,2013-09-16,,,2.5,1.0,1.0,2.5,7819,21.4072553045859
BML,2013-09-30,,,2.5,1.0,1.0,2.5,7833,21.44558521560575
BML,2014-05-05,,,2.5,1.0,1.0,2.5,8050,22.039698836413415
BML,2014-09-15,,,2.5,1.0,1.0,2.5,8183,22.403832991101986
BML,2014-12-22,,,2.5,1.0,1.0,2.5,8281,22.67214236824093
BML,2015-01-19,,,2.5,1.0,1.0,2.5,8309,22.748802190280628
BML,2015-02-02,,,2.5,1.0,1.0,2.5,8323,22.78713210130048
BML,2015-05-18,,,2.5,1.0,1.0,2.5,8428,23.07460643394935
BML,2015-06-01,,,2.8,2.0,0.0,,8442,23.1129363449692
BML,2015-06-15,,,2.5,1.0,1.0,2.5,8456,23.15126625598905
BML,2015-07-06,,,2.5,1.0,1.0,2.5,8477,23.208761122518823
BML,2015-08-03,,,2.5,1.0,1.0,2.5,8505,23.28542094455852
BML,2015-08-17,,,16.0,2.0,0.0,,8519,23.32375085557837
BML,2015-09-07,,,2.5,1.0,1.0,2.5,8540,23.381245722108144
BML,2015-09-14,,,2.5,1.0,1.0,2.5,8547,23.40041067761807
BML,2015-10-05,,,2.5,1.0,1.0,2.5,8568,23.457905544147845
BML,2015-10-19,,,2.5,1.0,1.0,2.5,8582,23.496235455167692
BML,2015-11-16,,,2.5,1.0,1.0,2.5,8610,23.572895277207394
BML,2015-12-07,,,2.5,1.0,1.0,2.5,8631,23.630390143737166
BML,2016-03-28,,,2.5,1.0,1.0,2.5,8743,23.93702943189596
BML,2016-04-11,,,2.5,1.0,1.0,2.5,8757,23.975359342915812
BML,2016-07-04,,,2.5,1.0,1.0,2.5,8841,24.205338809034906
BML,2018-04-30,,,2.5,1.0,1.0,2.5,9506,26.026009582477755
BML,2018-05-14,,,4.5,2.0,0.0,,9520,26.064339493497606
BML,2018-06-04,,,2.5,1.0,1.0,2.5,9541,26.12183436002738
BML,2018-07-02,,,2.5,1.0,1.0,2.5,9569,26.198494182067076
BML,2018-07-16,,,2.5,1.0,1.0,2.5,9583,26.236824093086927
BML,2018-08-13,,,2.5,1.0,1.0,2.5,9611,26.313483915126625
BML,2018-09-03,,,2.5,1.0,1.0,2.5,9632,26.3709787816564
BML,2019-03-04,,,2.5,1.0,1.0,2.5,9814,26.869267624914443
BML,2019-09-16,,,2.5,1.0,1.0,2.5,10010,27.405886379192335
BML,2020-01-20,71.0,1.8573324964312685,,,,,10136,27.750855578370977
BML,2020-04-20,,,2.5,1.0,1.0,2.5,10227,28.0
BML,2020-04-27,,,2.5,1.0,1.0,2.5,10234,28.019164955509925
BML,2020-06-01,,,2.5,1.0,1.0,2.5,10269,28.11498973305955
BML,2020-06-22,,,2.5,1.0,1.0,2.5,10290,28.17248459958932
BML,2020-07-20,,,2.5,1.0,1.0,2.5,10318,28.249144421629023
BML,2020-07-27,14.0,1.1760912590556813,,,,,10325,28.268309377138944
BML,2020-08-24,265.0,2.424881636631067,,,,,10353,28.344969199178646
BML,2020-08-31,50.0,1.7075701760979363,,,,,10360,28.36413415468857
BML,2020-10-05,,,2.5,1.0,1.0,2.5,10395,28.459958932238195
BML,2020-10-12,42.0,1.6334684555795864,,,,,10402,28.479123887748116
BML,2020-11-09,36.0,1.568201724066995,,,,,10430,28.555783709787818
BML,2020-11-23,,,2.5,1.0,1.0,2.5,10444,28.594113620807665
BML,2020-12-07,,,2.5,1.0,1.0,2.5,10458,28.632443531827516
BML,2021-01-04,140.0,2.1492191126553797,,,,,10486,28.709103353867214
BML,2021-01-11,165.0,2.220108088040055,2.5,1.0,1.0,2.5,10493,28.72826830937714
BML,2021-01-18,68.0,1.8388490907372552,,,,,10500,28.747433264887064
BML,2021-01-25,66.0,1.8260748027008264,,,,,10507,28.76659822039699
BML,2021-02-01,90.0,1.9590413923210936,,,,,10514,28.78576317590691
BML,2021-02-08,16.0,1.2304489213782739,,,,,10521,28.804928131416837
BML,2021-02-15,78.66666666666667,1.9012766462284754,,,,,10528,28.824093086926762
BML,2021-03-01,23.0,1.380211241711606,,,,,10542,28.862422997946613
BML,2021-03-08,12618.0,4.101024940352695,,,,,10549,28.88158795345654
BML,2021-03-15,730.5,2.8642143304613294,,,,,10556,28.90075290896646
BML,2021-03-22,98.0,1.99563519459755,,,,,10563,28.919917864476385
BML,2021-03-29,68.0,1.8388490907372552,,,,,10570,28.93908281998631
BML,2021-04-05,152.0,2.184691430817599,,,,,10577,28.958247775496236
BML,2021-04-12,0.0,0.0,,,,,10584,28.97741273100616
BML,2021-04-19,325.0,2.513217600067939,,,,,10591,28.996577686516083
BML,2021-04-26,429.0,2.6334684555795866,,,,,10598,29.01574264202601
BML,2021-05-03,13.0,1.146128035678238,,,,,10605,29.034907597535934
BML,2021-05-10,79.5,1.9057958803678685,,,,,10612,29.05407255304586
BML,2021-05-17,0.0,0.0,,,,,10619,29.073237508555785
BML,2021-05-24,0.0,0.0,,,,,10626,29.09240246406571
BML,2021-05-31,114.0,2.060697840353612,,,,,10633,29.111567419575632
BML,2021-06-07,66.0,1.8260748027008264,,,,,10640,29.130732375085557
BML,2021-06-14,460.0,2.663700925389648,,,,,10647,29.149897330595483
BML,2021-06-21,269.0,2.4313637641589874,,,,,10654,29.169062286105408
BML,2021-06-28,17.0,1.255272505103306,,,,,10661,29.188227241615333
BML,2021-07-05,0.0,0.0,,,,,10668,29.207392197125255
BML,2021-07-12,30.5,1.4983105537896004,,,,,10675,29.22655715263518
BML,2021-07-26,35.5,1.5622928644564746,,,,,10689,29.26488706365503
BML,2021-08-02,25.0,1.414973347970818,,,,,10696,29.284052019164957
BML,2021-08-09,32.0,1.5185139398778875,,,,,10703,29.30321697467488
BML,2021-08-16,25.5,1.423245873936808,,,,,10710,29.322381930184804
BML,2021-08-23,24.0,1.3979400086720377,,,,,10717,29.34154688569473
BML,2021-08-30,0.0,0.0,,,,,10724,29.360711841204655
BML,2021-09-06,463.0,2.6665179805548807,,,,,10731,29.37987679671458
BML,2021-09-13,46.5,1.6766936096248666,,,,,10738,29.399041752224505
BML,2021-09-20,131.0,2.12057393120585,,,,,10745,29.418206707734427
BML,2021-09-27,0.0,0.0,,,,,10752,29.437371663244353
BML,2021-10-04,44.0,1.6532125137753437,,,,,10759,29.456536618754278
BML,2021-10-11,183.5,2.265996370495079,,,,,10766,29.475701574264203
BML,2021-10-18,187.0,2.27415784926368,2.5,1.0,1.0,2.5,10773,29.49486652977413
BML,2021-10-25,24.0,1.3979400086720377,2.5,1.0,1.0,2.5,10780,29.51403148528405
BML,2021-11-01,20.0,1.3222192947339193,,,,,10787,29.533196440793976
BML,2021-11-08,21.5,1.3521825181113625,2.5,1.0,1.0,2.5,10794,29.5523613963039
BML,2021-11-15,16.0,1.2304489213782739,,,,,10801,29.571526351813826
BML,2021-11-22,22.0,1.3617278360175928,,,,,10808,29.590691307323752
BML,2021-11-29,27.0,1.4471580313422192,,,,,10815,29.609856262833677
BML,2021-12-06,26.0,1.4313637641589874,,,,,10822,29.6290212183436
BML,2021-12-13,180.0,2.2576785748691846,,,,,10829,29.648186173853524
BML,2021-12-20,8.0,0.9542425094393249,,,,,10836,29.66735112936345
BML,2021-12-27,1.0,0.3010299956639812,2.5,1.0,1.0,2.5,10843,29.686516084873375
BML,2022-01-03,0.0,0.0,,,,,10850,29.7056810403833
BML,2022-01-10,0.0,0.0,,,,,10857,29.724845995893222
BML,2022-01-17,0.0,0.0,,,,,10864,29.744010951403148
BML,2022-01-24,0.0,0.0,,,,,10871,29.763175906913073
BML,2022-01-31,0.0,0.0,,,,,10878,29.782340862423
BML,2022-02-07,28.0,1.462397997898956,,,,,10885,29.801505817932924
BML,2022-02-14,11.0,1.0791812460476249,,,,,10892,29.82067077344285
BML,2022-02-21,8.5,0.9777236052888477,,,,,10899,29.83983572895277
BML,2022-02-28,256.0,2.4099331233312946,,,,,10906,29.859000684462696
BML,2022-03-07,51.5,1.7201593034059568,,,,,10913,29.87816563997262
BML,2022-03-14,97.0,1.9912260756924949,,,,,10920,29.897330595482547
BML,2022-03-28,18.0,1.2787536009528289,,,,,10934,29.935660506502394
BML,2022-04-04,462.0,2.6655809910179533,,,,,10941,29.95482546201232
BML,2022-04-11,5.0,0.7781512503836436,,,,,10948,29.973990417522245
BML,2022-04-18,7.0,0.9030899869919435,,,,,10955,29.99315537303217
BML,2022-04-25,500.0,2.699837725867246,,,,,10962,30.012320328542096
BML,2022-05-02,0.0,0.0,,,,,10969,30.031485284052017
BML,2022-05-09,6.0,0.8450980400142568,,,,,10976,30.050650239561943
BML,2022-05-16,0.0,0.0,,,,,10983,30.069815195071868
BML,2022-05-23,2.5,0.5440680443502757,,,,,10990,30.088980150581794
BML,2022-05-30,89.0,1.954242509439325,,,,,10997,30.10814510609172
BML,2022-06-06,8.0,0.9542425094393249,,,,,11004,30.127310061601644
BML,2022-06-13,181.0,2.2600713879850747,,,,,11011,30.146475017111566
BML,2022-06-20,40.0,1.6127838567197355,,,,,11018,30.16563997262149
BML,2022-06-27,13.0,1.146128035678238,,,,,11025,30.184804928131417
BML,2022-07-04,0.0,0.0,,,,,11032,30.203969883641342
BML,2022-07-11,24.0,1.3979400086720377,,,,,11039,30.223134839151268
BML,2022-07-18,15.5,1.2174839442139063,,,,,11046,30.24229979466119
BML,2022-07-25,67.0,1.8325089127062364,,,,,11053,30.261464750171115
BML,2022-08-01,0.0,0.0,,,,,11060,30.28062970568104
BML,2022-08-08,198.0,2.298853076409707,,,,,11067,30.299794661190965
BML,2022-08-15,76.0,1.8864907251724818,,,,,11074,30.31895961670089
BML,2022-08-22,162.0,2.2121876044039577,,,,,11081,30.338124572210816
BML,2022-08-29,126.5,2.1055101847699738,,,,,11088,30.357289527720738
BML,2022-09-12,3.0,0.6020599913279624,,,,,11102,30.39561943874059
BML,2022-09-19,41.0,1.6232492903979006,,,,,11109,30.414784394250514
BML,2022-09-26,10.0,1.0413926851582251,,,,,11116,30.43394934976044
BML,2022-10-03,19.0,1.3010299956639813,,,,,11123,30.45311430527036
