location_name,location_code,week_start,pda_water_ng_ml,tda_water_ng_ml,pn_total_cells_l,pn_seriata_cells_l,alexandrium_cells_l,dinophysis_cells_l,total_phyto_cells_l,insitu_sst_c,insitu_chl_mg_m3,nitrate_um,silicate_um,n_samples,hazard_truth_status,insitu_physical_status
Bodega Marine Lab Buoy,BBB,2025-10-27,,,0.0,0.0,352.0,54.0,3369.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2025-12-29,,,0.0,0.0,0.0,0.0,36.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2026-01-26,,,418.0,232.0,0.0,0.0,22510.0,,,,,1,partial,none
Bodega Marine Lab,BML,2020-01-20,,,71.0,51.0,0.0,33.0,1454.0,11.1,,,,1,partial,partial
Bodega Marine Lab,BML,2020-07-27,,,14.0,6.0,0.0,283.0,10690.0,16.0,,,,1,partial,partial
Bodega Marine Lab,BML,2020-08-24,,,265.0,225.0,0.0,18.0,8201.0,13.6,,,,1,partial,partial
Bodega Marine Lab,BML,2020-08-31,,,50.0,39.0,0.0,74.0,1381.0,14.4,,,,1,partial,partial
Bodega Marine Lab,BML,2020-10-12,,,42.0,40.0,51.0,80.0,2437.0,12.5,,,,1,partial,partial
Bodega Marine Lab,BML,2020-11-09,,,36.0,9.0,0.0,0.0,404.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2021-01-04,,,140.0,129.0,0.0,39.0,2643.0,11.4,,,,1,partial,partial
Bodega Marine Lab,BML,2021-01-11,,,165.0,98.0,0.0,64.0,4090.0,11.1,,,,1,partial,partial
Bodega Marine Lab,BML,2021-01-18,,,68.0,32.0,0.0,36.0,1335.0,10.8,,,,1,partial,partial
Bodega Marine Lab,BML,2021-01-25,,,66.0,55.0,0.0,8.0,1432.0,10.6,,,,1,partial,partial
Bodega Marine Lab,BML,2021-02-01,,,90.0,54.0,0.0,12.0,956.0,11.2,,,,1,partial,partial
Bodega Marine Lab,BML,2021-02-08,,,16.0,6.0,0.0,10.0,336.0,11.4,,,,1,partial,partial
Bodega Marine Lab,BML,2021-02-15,,,78.66666666666667,42.333333333333336,0.0,0.3333333333333333,2074.6666666666665,10.766666666666666,,,,3,partial,partial
Bodega Marine Lab,BML,2021-03-01,,,23.0,12.0,0.0,0.0,1199.0,9.7,,,,1,partial,partial
Bodega Marine Lab,BML,2021-03-08,,,12618.0,9542.0,0.0,0.0,351990.0,10.2,,,,1,partial,partial
Bodega Marine Lab,BML,2021-03-15,,,730.5,692.5,0.0,14.0,15806.0,9.9,,,,2,partial,partial
Bodega Marine Lab,BML,2021-03-22,,,98.0,78.0,0.0,0.0,6293.0,9.9,,,,1,partial,partial
Bodega Marine Lab,BML,2021-03-29,,,68.0,28.0,0.0,0.0,2233.0,9.9,,,,1,partial,partial
Bodega Marine Lab,BML,2021-04-05,,,152.0,112.0,0.0,0.0,17407.0,10.7,,,,1,partial,partial
Bodega Marine Lab,BML,2021-04-12,,,0.0,0.0,0.0,0.0,1926.0,9.2,,,,1,partial,partial
Bodega Marine Lab,BML,2021-04-19,,,325.0,156.0,0.0,0.0,18321.0,9.9,,,,1,partial,partial
Bodega Marine Lab,BML,2021-04-26,,,429.0,194.0,0.0,0.0,66222.0,10.600000000000001,,,,2,partial,partial
Bodega Marine Lab,BML,2021-05-03,,,13.0,0.0,0.0,0.0,2945.0,10.5,,,,1,partial,partial
Bodega Marine Lab,BML,2021-05-10,,,79.5,8.0,0.0,0.0,3633.0,10.65,,,,2,partial,partial
Bodega Marine Lab,BML,2021-05-17,,,0.0,0.0,0.0,0.0,775.0,11.6,,,,1,partial,partial
Bodega Marine Lab,BML,2021-05-24,,,0.0,0.0,0.0,0.0,1203.0,9.7,,,,1,partial,partial
Bodega Marine Lab,BML,2021-05-31,,,114.0,34.0,0.0,0.0,52636.5,11.65,,,,2,partial,partial
Bodega Marine Lab,BML,2021-06-07,,,66.0,29.0,0.0,0.0,10503.0,10.9,,,,1,partial,partial
Bodega Marine Lab,BML,2021-06-14,,,460.0,298.0,0.0,0.0,20634.0,13.9,,,,1,partial,partial
Bodega Marine Lab,BML,2021-06-21,,,269.0,239.0,0.0,0.0,22038.0,12.9,,,,1,partial,partial
Bodega Marine Lab,BML,2021-06-28,,,17.0,6.0,0.0,0.0,1856.0,12.4,,,,1,partial,partial
Bodega Marine Lab,BML,2021-07-05,,,0.0,0.0,0.0,2.0,862.0,14.0,,,,1,partial,partial
Bodega Marine Lab,BML,2021-07-12,,,30.5,6.0,0.0,27.0,1817.0,11.45,,,,2,partial,partial
Bodega Marine Lab,BML,2021-07-26,,,35.5,4.0,15.5,54.0,2746.5,13.75,,,,2,partial,partial
Bodega Marine Lab,BML,2021-08-02,,,25.0,10.5,0.0,48.5,2238.5,13.9,,,,2,partial,partial
Bodega Marine Lab,BML,2021-08-09,,,32.0,5.0,0.0,38.0,1181.0,14.3,,,,1,partial,partial
Bodega Marine Lab,BML,2021-08-16,,,25.5,13.0,3.5,40.0,1448.0,12.95,,,,2,partial,partial
Bodega Marine Lab,BML,2021-08-23,,,24.0,12.0,37.0,306.0,4123.0,14.9,,,,1,partial,partial
Bodega Marine Lab,BML,2021-08-30,,,0.0,0.0,86.0,257.0,11032.0,15.350000000000001,,,,2,partial,partial
Bodega Marine Lab,BML,2021-09-06,,,463.0,203.0,12.0,133.0,6013.0,15.4,,,,1,partial,partial
Bodega Marine Lab,BML,2021-09-13,,,46.5,35.5,22.5,28.5,3000.5,13.4,,,,2,partial,partial
Bodega Marine Lab,BML,2021-09-20,,,131.0,98.0,9.0,12.0,2193.0,14.0,,,,1,partial,partial
Bodega Marine Lab,BML,2021-09-27,,,0.0,0.0,27.0,47.0,3201.0,15.0,,,,1,partial,partial
