location_code,week_start,cells,cells_log10,da,da_cat,cens,lod,t_days,t_years
CPP,2007-10-15,,,1.0,1.0,1.0,1.0,1288,3.5263518138261465
CPP,2007-10-22,,,1.0,1.0,1.0,1.0,1295,3.5455167693360714
CPP,2007-10-29,,,1.0,1.0,1.0,1.0,1302,3.564681724845996
CPP,2007-11-05,,,1.0,1.0,1.0,1.0,1309,3.583846680355921
CPP,2007-11-12,,,1.0,1.0,1.0,1.0,1316,3.6030116358658453
CPP,2007-11-26,,,1.0,1.0,1.0,1.0,1330,3.6413415468856947
CPP,2007-12-03,,,1.0,1.0,1.0,1.0,1337,3.6605065023956196
CPP,2007-12-10,,,1.0,1.0,1.0,1.0,1344,3.679671457905544
CPP,2008-01-07,,,1.0,1.0,1.0,1.0,1372,3.756331279945243
CPP,2008-01-14,,,1.0,1.0,1.0,1.0,1379,3.7754962354551678
CPP,2008-01-21,,,1.0,1.0,1.0,1.0,1386,3.7946611909650922
CPP,2008-01-28,,,1.0,1.0,1.0,1.0,1393,3.813826146475017
CPP,2008-02-04,,,1.0,1.0,1.0,1.0,1400,3.8329911019849416
CPP,2008-02-11,,,1.0,1.0,1.0,1.0,1407,3.8521560574948666
CPP,2008-02-25,,,1.0,1.0,1.0,1.0,1421,3.890485968514716
CPP,2008-03-17,,,1.0,1.0,1.0,1.0,1442,3.9479808350444903
CPP,2008-03-24,,,1.0,1.0,1.0,1.0,1449,3.9671457905544147
CPP,2008-03-31,,,1.0,1.0,1.0,1.0,1456,3.9863107460643397
CPP,2008-04-07,,,2.5,1.0,1.0,2.5,1463,4.005475701574264
CPP,2008-04-14,,,1.0,1.0,1.0,1.0,1470,4.024640657084189
CPP,2008-04-21,,,1.0,1.0,1.0,1.0,1477,4.043805612594114
CPP,2008-04-28,,,1.0,1.0,1.0,1.0,1484,4.0629705681040384
CPP,2008-05-05,,,9.5,2.0,0.0,,1491,4.082135523613963
CPP,2008-05-12,,,5.41,2.0,0.0,,1498,4.101300479123887
CPP,2008-05-19,,,1.0,1.0,1.0,1.0,1505,4.120465434633813
CPP,2008-05-26,,,2.5,1.0,1.0,2.5,1512,4.139630390143737
CPP,2008-06-16,,,2.5,1.0,1.0,2.5,1533,4.1971252566735116
CPP,2008-06-23,,,1.0,1.0,1.0,1.0,1540,4.216290212183436
CPP,2008-06-30,,,2.5,1.0,1.0,2.5,1547,4.2354551676933605
CPP,2008-07-07,,,2.5,1.0,1.0,2.5,1554,4.254620123203286
CPP,2008-07-14,,,1.0,1.0,1.0,1.0,1561,4.27378507871321
CPP,2008-07-21,,,1.0,1.0,1.0,1.0,1568,4.292950034223135
CPP,2008-07-28,,,1.0,1.0,1.0,1.0,1575,4.312114989733059
CPP,2008-08-04,,,1.0,1.0,1.0,1.0,1582,4.331279945242985
CPP,2008-08-11,3198.8298,3.505126878667838,,,,,1589,4.350444900752909
CPP,2008-08-18,66109.1465,4.820268119558047,1.0,1.0,1.0,1.0,1596,4.369609856262834
CPP,2008-08-25,46916.1699,4.671331807069178,1.0,1.0,1.0,1.0,1603,4.388774811772758
CPP,2008-09-01,0.0,0.0,1.0,1.0,1.0,1.0,1610,4.407939767282683
CPP,2008-09-08,21325.5322,4.328920242751678,1.0,1.0,1.0,1.0,1617,4.427104722792608
CPP,2008-09-15,0.0,0.0,1.0,1.0,1.0,1.0,1624,4.446269678302532
