location_code,location_name,week_start,cells,cells_log10,t_days,t_years
CPP,Cal Poly Pier,2009-11-23,0.0,0.0,469,1.2840520191649556
CPP,Cal Poly Pier,2009-11-30,0.0,0.0,476,1.3032169746748803
CPP,Cal Poly Pier,2009-12-07,0.0,0.0,483,1.322381930184805
CPP,Cal Poly Pier,2009-12-14,0.0,0.0,490,1.3415468856947297
CPP,Cal Poly Pier,2009-12-21,8530.2129,3.931010780092535,497,1.3607118412046544
CPP,Cal Poly Pier,2009-12-28,0.0,0.0,504,1.379876796714579
CPP,Cal Poly Pier,2010-01-04,0.0,0.0,511,1.3990417522245038
CPP,Cal Poly Pier,2010-01-11,0.0,0.0,518,1.4182067077344285
CPP,Cal Poly Pier,2010-01-18,0.0,0.0,525,1.4373716632443532
CPP,Cal Poly Pier,2010-01-25,0.0,0.0,532,1.4565366187542779
CPP,Cal Poly Pier,2010-02-01,0.0,0.0,539,1.4757015742642026
CPP,Cal Poly Pier,2010-02-08,0.0,0.0,546,1.4948665297741273
CPP,Cal Poly Pier,2010-02-15,0.0,0.0,553,1.514031485284052
CPP,Cal Poly Pier,2010-02-22,0.0,0.0,560,1.5331964407939767
CPP,Cal Poly Pier,2010-03-01,0.0,0.0,567,1.5523613963039014
CPP,Cal Poly Pier,2010-03-08,0.0,0.0,574,1.571526351813826
CPP,Cal Poly Pier,2010-03-15,0.0,0.0,581,1.5906913073237507
CPP,Cal Poly Pier,2010-03-22,36253.4023,4.559360749624646,588,1.6098562628336757
CPP,Cal Poly Pier,2010-03-29,0.0,0.0,595,1.6290212183436004
CPP,Cal Poly Pier,2010-04-05,0.0,0.0,602,1.648186173853525
CPP,Cal Poly Pier,2010-04-12,0.0,0.0,609,1.6673511293634498
CPP,Cal Poly Pier,2010-04-19,1066.2766,3.028276987640199,616,1.6865160848733745
CPP,Cal Poly Pier,2010-04-26,0.0,0.0,623,1.7056810403832992
CPP,Cal Poly Pier,2010-05-03,0.0,0.0,630,1.7248459958932238
CPP,Cal Poly Pier,2010-05-10,7463.936,3.8730260886898464,637,1.7440109514031485
CPP,Cal Poly Pier,2010-05-17,0.0,0.0,644,1.7631759069130732
CPP,Cal Poly Pier,2010-05-24,0.0,0.0,651,1.782340862422998
CPP,Cal Poly Pier,2010-05-31,31988.2969,4.50500469473225,658,1.8015058179329226
CPP,Cal Poly Pier,2010-06-07,38385.957,4.584183686212531,665,1.8206707734428473
CPP,Cal Poly Pier,2010-06-14,34120.8516,4.533032589841448,672,1.839835728952772
CPP,Cal Poly Pier,2010-06-21,51181.2754,4.7091195893217375,679,1.8590006844626967
CPP,Cal Poly Pier,2010-06-28,61844.0429,4.79130489511384,686,1.8781656399726214
CPP,Cal Poly Pier,2010-07-05,130322.6934,5.1150233794688855,693,1.8973305954825461
CPP,Cal Poly Pier,2010-07-12,25590.637600000002,4.408098077129402,700,1.9164955509924708
CPP,Cal Poly Pier,2010-07-19,16586.5254,4.219781600895636,707,1.9356605065023955
CPP,Cal Poly Pier,2010-07-26,183399.57030000002,5.263400681812508,714,1.9548254620123204
CPP,Cal Poly Pier,2010-08-02,151411.27240000002,5.180161077407083,721,1.9739904175222451
CPP,Cal Poly Pier,2010-08-09,496884.9004,5.6962566734101445,728,1.9931553730321698
CPP,Cal Poly Pier,2010-08-16,2132.5532,3.3291034764329126,735,2.0123203285420943
CPP,Cal Poly Pier,2010-08-23,29855.7437,4.4750424400186954,742,2.0314852840520192
CPP,Cal Poly Pier,2010-08-30,0.0,0.0,749,2.0506502395619437
CPP,Cal Poly Pier,2010-09-06,142881.0625,5.154977710622746,756,2.0698151950718686
CPP,Cal Poly Pier,2010-09-13,29855.7441,4.475042445837072,763,2.088980150581793
CPP,Cal Poly Pier,2010-09-20,0.0,0.0,770,2.108145106091718
CPP,Cal Poly Pier,2010-09-27,0.0,0.0,777,2.127310061601643
CPP,Cal Poly Pier,2010-10-04,14927.8721,4.1740269973265125,784,2.1464750171115674
CPP,Cal Poly Pier,2010-10-11,38385.957,4.584183686212531,791,2.1656399726214923
CPP,Cal Poly Pier,2010-10-18,0.0,0.0,798,2.184804928131417
CPP,Cal Poly Pier,2010-10-25,8530.2129,3.931010780092535,805,2.2039698836413417
CPP,Cal Poly Pier,2010-11-01,23458.085,4.370311068853656,812,2.223134839151266
