,rank,elpd_diff,dse,p_worse,diag_diff,diag_elpd,p,elpd,se,weight
seasonal,0,0.0,0.0,,,,25.7,-790.0,33.0,0.96
stationary,1,-10.0,5.5,0.99,,,17.4,-800.0,33.0,0.04
